Subject;Predicate;Object;;
The House is Black;cdwa: title text;Frida Kahlo: The woman behind the legend;;
The House is Black;CRM: P55 has current location;YouTube;;
The House is Black;dcterms: language;English;;
The House is Black;dcterms: created;2019;;
The House is Black;dcterms: type;Documentary;;
The House is Black;dcterms: creator;Iseult Gillespie;;
The House is Black;Schema: About;Frida Kahlo;;
The House is Black;dcterms:extent;3 min., 54 sec.;;
