Subject;Predicate;Object;;
Grave of Forough;dcterms: title;Frida Kahlo, Paris, France letter to Nickolas Muray, New York, N.Y.;;
Grave of Forough;dcterms: type;Correspondence;;
Grave of Forough;dcterms: created;1939;;
Grave of Forough;CRM: P55 has current location;Archives of American Art, Smithsonian Institution;;
Grave of Forough;dcterms: language;English;;
Grave of Forough;Schema: Author;Frida Kahlo;;
Grave of Forough;CRM: P26 moved to;Nickolas Muray;;
Grave of Forough;CRM: P67 refers to;Marcel Duchamp;;
Grave of Forough;Schema: hasPart;André Bréton, illness;;
