Subject;Predicate;Object;;
Forough's Painting;E39 Creator;Forough Farrokhzad;;
Forough's Painting;E35 Title;Forough's Painting;;
Forough's Painting;E55 Type;Painting;;
Forough's Painting;E26 Physical Feature;Painting;;
Forough's Painting;E53 Place;Forough Farrokhzad's Childhood Home;;
Forough's Painting;E53 Place;Tehran;;
